"","year","mean","sd","median","low95CI","high95CI","measure","units"
"1",2000,1400.94656964627,534.00559489778,1298.03194480784,700.51327237014,2736.86739232671,"Phosphorous","metric tons"
"2",2001,1399.11749795637,533.308398775502,1296.33723814716,699.598684317567,2733.29414636945,"Phosphorous","metric tons"
"3",2002,1441.51375491448,549.468785551761,1335.61903308799,720.798022922945,2816.1188134477,"Phosphorous","metric tons"
"4",2003,1442.82059375929,549.966919649003,1336.82987053463,721.451479646755,2818.67183345493,"Phosphorous","metric tons"
"5",2004,1439.24872139437,548.605411745379,1333.52039069229,719.665441511503,2811.69387925103,"Phosphorous","metric tons"
"6",2005,1393.87373013518,531.309606376468,1291.47868158937,696.976650732874,2723.05000324958,"Phosphorous","metric tons"
"7",2006,1277.12226416274,486.806884150922,1183.30386913122,638.597585282138,2494.96615826255,"Phosphorous","metric tons"
"8",2007,1194.07391276927,455.150941481856,1106.35631423656,597.071039116805,2332.72419283724,"Phosphorous","metric tons"
"9",2008,1122.57188780369,427.896168026944,1040.1068836482,561.317985734917,2193.03895083471,"Phosphorous","metric tons"
"10",2009,1129.38579753285,430.493459028144,1046.42023826795,564.725135090527,2206.35049872388,"Phosphorous","metric tons"
"11",2010,1163.5107195351,443.501020964824,1078.03831695327,581.788570127317,2273.01641469614,"Phosphorous","metric tons"
"12",2011,1220.05684644133,465.054982259258,1130.43052138828,610.063247589814,2383.48404725624,"Phosphorous","metric tons"
"13",2012,1240.61686557292,472.891944414243,1149.4801855203,620.343844005063,2423.64978031561,"Phosphorous","metric tons"
"14",2013,1314.35883778231,501.000529417989,1217.80501508541,657.21693494419,2567.71094835623,"Phosphorous","metric tons"
"15",2014,1296.08906679472,494.036552249798,1200.8773556871,648.081527972033,2532.01940838991,"Phosphorous","metric tons"
"16",2015,1306.85859671492,498.14162617368,1210.85574756147,653.466600329356,2553.05859425746,"Phosphorous","metric tons"
